angle,direction,length,order,shape,color
123.0,left,,85,twirl,red
,forward,100.0,54,box_flower,green
20.0,left,,17,flower,blue
144.0,right,,31,spiral_star,purple
,forward,100.0,99,flower,purple
,forward,100.0,114,flower,blue
,forward,100.0,0,box_flower,green
123.0,left,,55,twirl,purple
,forward,150.0,30,twirl,blue
,forward,100.0,72,box_flower,blue
,forward,150.0,0,twirl,brown
,forward,100.0,119,box_flower,black
144.0,right,,57,spiral_star,brown
135.0,left,,147,flower,blue
20.0,right,,100,circle,yellow
,forward,100.0,67,flower,black
,forward,150.0,4,twirl,yellow
,forward,25.0,75,circle,brown
90.0,left,,34,box_flower,purple
90.0,left,,70,box_flower,purple
,forward,150.0,32,twirl,red
20.0,right,,90,circle,brown
45.0,left,,28,flower,black
,forward,25.0,75,circle,red
,forward,60.0,12,spiral_star,red
90.0,left,,5,box,green
,forward,100.0,157,box_flower,purple
144.0,right,,37,spiral_star,purple
90.0,left,,25,box_flower,red
,forward,100.0,159,box_flower,blue
,forward,150.0,0,twirl,yellow
,forward,150.0,48,twirl,brown
,forward,100.0,139,box_flower,black
123.0,left,,35,twirl,blue
90.0,left,,5,box,yellow
90.0,left,,156,box_flower,yellow
123.0,left,,21,twirl,brown
135.0,left,,75,flower,green
90.0,left,,120,box_flower,black
,forward,100.0,119,flower,brown
144.0,right,,1,spiral_star,red
20.0,left,,17,box_flower,blue
90.0,left,,160,box_flower,yellow
90.0,left,,55,box_flower,yellow
144.0,right,,21,spiral_star,purple
,forward,100.0,148,flower,black
144.0,right,,25,spiral_star,red
20.0,left,,44,flower,black
45.0,left,,131,flower,yellow
,forward,100.0,54,flower,yellow
,forward,100.0,87,flower,black
45.0,left,,82,flower,green
,forward,100.0,123,flower,blue
144.0,right,,51,spiral_star,red
90.0,left,,95,box_flower,green
,forward,100.0,18,flower,yellow
,forward,25.0,77,circle,purple
,forward,110.0,22,spiral_star,red
,forward,100.0,150,box_flower,blue
,forward,100.0,121,box_flower,black
,forward,150.0,20,twirl,brown
20.0,left,,44,box_flower,blue
,forward,100.0,0,flower,green
,forward,100.0,148,box_flower,black
,forward,150.0,62,twirl,red
90.0,left,,75,box_flower,blue
,forward,100.0,146,flower,yellow
,forward,25.0,99,circle,purple
,forward,150.0,54,twirl,brown
45.0,left,,154,flower,purple
,forward,100.0,159,flower,brown
90.0,left,,156,box_flower,brown
,forward,100.0,117,box_flower,brown
,forward,150.0,50,twirl,purple
144.0,right,,1,spiral_star,black
,forward,25.0,89,circle,yellow
,forward,280.0,56,spiral_star,yellow
123.0,left,,93,twirl,brown
,forward,150.0,12,twirl,purple
123.0,left,,63,twirl,blue
,forward,150.0,36,twirl,yellow
,forward,20.0,4,spiral_star,red
90.0,left,,70,box_flower,yellow
,forward,100.0,20,spiral_star,yellow
,forward,25.0,105,circle,green
123.0,left,,11,twirl,purple
,forward,100.0,40,flower,yellow
,forward,150.0,66,twirl,red
123.0,left,,39,twirl,yellow
,forward,250.0,50,spiral_star,purple
,forward,100.0,81,box_flower,green
123.0,left,,99,twirl,red
123.0,left,,45,twirl,brown
,forward,100.0,132,flower,purple
,forward,100.0,139,flower,black
123.0,left,,77,twirl,brown
,forward,100.0,63,flower,purple
144.0,right,,61,spiral_star,red
,forward,150.0,42,twirl,blue
45.0,left,,95,flower,purple
90.0,left,,86,box_flower,brown
20.0,right,,80,circle,purple
123.0,left,,17,twirl,green
123.0,left,,77,twirl,blue
45.0,left,,41,flower,red
,forward,100.0,29,box_flower,yellow
20.0,left,,116,flower,yellow
123.0,left,,33,twirl,brown
,forward,100.0,20,spiral_star,red
,forward,25.0,105,circle,yellow
144.0,right,,43,spiral_star,yellow
90.0,left,,129,box_flower,black
90.0,left,,100,box_flower,yellow
,forward,100.0,45,box_flower,brown
,forward,100.0,153,box_flower,blue
,forward,100.0,78,flower,green
20.0,right,,78,circle,purple
,forward,100.0,60,box_flower,red
-48.0,right,,11,star,purple
123.0,left,,1,twirl,red
,forward,150.0,22,twirl,black
,forward,100.0,65,box_flower,brown
,forward,100.0,159,box_flower,red
123.0,left,,79,twirl,blue
90.0,left,,21,box_flower,green
123.0,left,,5,twirl,yellow
,forward,100.0,2,box,black
144.0,right,,25,spiral_star,brown
144.0,right,,53,spiral_star,green
,forward,25.0,87,circle,green
,forward,100.0,96,flower,green
120.0,right,,13,star,brown
123.0,left,,13,twirl,blue
45.0,left,,19,flower,yellow
135.0,left,,34,flower,black
,forward,100.0,54,box_flower,brown
90.0,left,,104,box_flower,green
,forward,25.0,85,circle,yellow
144.0,right,,69,spiral_star,brown
20.0,left,,98,box_flower,black
90.0,left,,43,box_flower,yellow
,forward,100.0,94,flower,purple
90.0,left,,84,box_flower,black
,forward,150.0,96,twirl,blue
,forward,100.0,148,flower,red
,forward,100.0,94,box_flower,green
,forward,100.0,101,box_flower,red
20.0,left,,8,box_flower,purple
,forward,25.0,79,circle,black
20.0,left,,26,flower,green
,forward,230.0,46,spiral_star,red
90.0,left,,39,box_flower,purple
20.0,left,,143,box_flower,purple
,forward,100.0,137,flower,blue
,forward,150.0,54,twirl,purple
,forward,25.0,93,circle,yellow
,forward,150.0,32,twirl,yellow
,forward,100.0,11,box_flower,red
45.0,left,,86,flower,brown
144.0,right,,35,spiral_star,red
,forward,100.0,72,box_flower,green
,forward,100.0,29,box_flower,red
,forward,100.0,76,box_flower,brown
,forward,100.0,141,box_flower,red
,forward,100.0,99,flower,red
45.0,left,,32,flower,yellow
45.0,left,,136,flower,blue
,forward,25.0,91,circle,red
,forward,150.0,14,twirl,purple
,forward,100.0,103,box_flower,green
,forward,100.0,56,box_flower,green
,forward,100.0,9,flower,red
,forward,100.0,155,box_flower,green
,forward,100.0,96,box_flower,black
,forward,100.0,135,flower,brown
,forward,100.0,141,flower,green
20.0,left,,152,box_flower,green
,forward,100.0,29,box_flower,purple
90.0,left,,14,box_flower,blue
123.0,left,,3,twirl,purple
90.0,left,,160,box_flower,blue
20.0,left,,116,flower,green
45.0,left,,37,flower,yellow
,forward,100.0,40,box_flower,green
20.0,left,,107,flower,red
,forward,100.0,0,flower,brown
,forward,110.0,22,spiral_star,blue
45.0,left,,10,flower,purple
144.0,right,,43,spiral_star,green
123.0,left,,43,twirl,red
20.0,left,,116,box_flower,purple
20.0,left,,62,flower,purple
135.0,left,,97,flower,black
,forward,25.0,75,circle,blue
45.0,left,,140,flower,brown
135.0,left,,30,flower,red
,forward,100.0,157,flower,brown
135.0,left,,97,flower,red
45.0,left,,50,flower,purple
20.0,right,,92,circle,blue
135.0,left,,142,flower,black
45.0,left,,46,flower,green
90.0,left,,106,box_flower,brown
90.0,left,,118,box_flower,black
135.0,left,,43,flower,yellow
,forward,100.0,99,flower,blue
90.0,left,,158,box_flower,brown
135.0,left,,133,flower,brown
,forward,100.0,159,box_flower,yellow
90.0,left,,59,box_flower,yellow
,forward,150.0,14,twirl,black
144.0,right,,17,spiral_star,brown
,forward,100.0,13,box_flower,green
,forward,150.0,44,twirl,yellow
,forward,150.0,68,twirl,red
90.0,left,,3,box,green
90.0,left,,147,box_flower,yellow
20.0,right,,72,circle,red
,forward,100.0,128,flower,black
,forward,100.0,128,flower,purple
123.0,left,,75,twirl,yellow
135.0,left,,39,flower,purple
144.0,right,,3,spiral_star,purple
144.0,right,,51,spiral_star,purple
,forward,25.0,73,circle,black
,forward,100.0,119,flower,black
,forward,150.0,64,twirl,purple
45.0,left,,136,flower,red
,forward,100.0,40,flower,red
123.0,left,,63,twirl,green
90.0,left,,111,box_flower,black
20.0,right,,102,circle,brown
,forward,100.0,54,flower,purple
135.0,left,,43,flower,brown
20.0,left,,89,box_flower,brown
135.0,left,,75,flower,black
90.0,left,,3,box_flower,blue
,forward,100.0,153,box_flower,black
123.0,left,,15,twirl,black
,forward,25.0,89,circle,brown
,forward,150.0,2,twirl,purple
,forward,150.0,20,twirl,blue
135.0,left,,25,flower,blue
90.0,left,,34,box_flower,red
90.0,left,,10,box_flower,green
90.0,left,,115,box_flower,brown
20.0,left,,80,flower,blue
,forward,150.0,30,twirl,black
,forward,150.0,2,twirl,red
,forward,150.0,64,twirl,black
-48.0,right,,15,star,yellow
,forward,80.0,8,star,purple
45.0,left,,59,flower,brown
20.0,left,,98,flower,black
,forward,120.0,24,spiral_star,blue
20.0,left,,89,flower,green
,forward,100.0,31,flower,yellow
,forward,150.0,14,twirl,blue
,forward,80.0,16,star,red
90.0,left,,7,box,yellow
,forward,150.0,56,twirl,green
45.0,left,,154,flower,black
20.0,left,,98,flower,green
123.0,left,,29,twirl,green
,forward,340.0,68,spiral_star,green
123.0,left,,59,twirl,purple
90.0,left,,140,box_flower,red
20.0,right,,90,circle,purple
20.0,left,,125,box_flower,purple
20.0,right,,106,circle,blue
90.0,left,,37,box_flower,black
90.0,left,,61,box_flower,brown
,forward,80.0,2,star,black
90.0,left,,70,box_flower,green
,forward,100.0,128,box_flower,brown
,forward,20.0,4,spiral_star,purple
,forward,100.0,47,flower,green
123.0,left,,29,twirl,black
,forward,100.0,117,flower,red
,forward,150.0,52,twirl,green
,forward,100.0,20,flower,green
,forward,90.0,18,spiral_star,blue
,forward,150.0,10,twirl,brown
144.0,right,,29,spiral_star,green
135.0,left,,102,flower,red
123.0,left,,47,twirl,brown
,forward,150.0,82,twirl,brown
20.0,left,,80,box_flower,purple
,forward,80.0,4,star,red
20.0,right,,100,circle,green
,forward,150.0,62,twirl,brown
,forward,100.0,56,box_flower,purple
90.0,left,,37,box_flower,blue
123.0,left,,1,twirl,black
,forward,100.0,42,box_flower,yellow
144.0,right,,17,spiral_star,blue
20.0,left,,152,flower,black
123.0,left,,87,twirl,black
20.0,right,,88,circle,brown
90.0,left,,129,box_flower,green
144.0,right,,55,spiral_star,red
20.0,left,,17,box_flower,green
,forward,100.0,135,box_flower,black
,forward,150.0,12,twirl,yellow
,forward,100.0,40,flower,black
123.0,left,,69,twirl,blue
45.0,left,,68,flower,blue
20.0,left,,80,box_flower,green
20.0,left,,134,box_flower,yellow
,forward,100.0,13,flower,brown
,forward,100.0,99,box_flower,red
,forward,150.0,54,twirl,blue
,forward,100.0,72,flower,black
20.0,left,,134,flower,yellow
123.0,left,,91,twirl,yellow
,forward,100.0,126,box_flower,black
123.0,left,,89,twirl,blue
,forward,100.0,67,box_flower,black
,forward,260.0,52,spiral_star,green
123.0,left,,33,twirl,blue
,forward,150.0,50,twirl,yellow
,forward,100.0,103,box_flower,yellow
,forward,100.0,121,box_flower,red
144.0,right,,51,spiral_star,yellow
45.0,left,,82,flower,blue
-48.0,right,,3,star,yellow
,forward,150.0,30,spiral_star,blue
20.0,right,,92,circle,black
,forward,150.0,74,twirl,brown
135.0,left,,30,flower,yellow
,forward,20.0,4,spiral_star,black
90.0,left,,131,box_flower,red
20.0,left,,44,flower,brown
45.0,left,,158,flower,purple
123.0,left,,9,twirl,red
,forward,150.0,8,twirl,blue
123.0,left,,91,twirl,purple
135.0,left,,21,flower,blue
123.0,left,,91,twirl,red
123.0,left,,71,twirl,black
123.0,left,,77,twirl,green
135.0,left,,97,flower,brown
135.0,left,,142,flower,green
20.0,left,,35,flower,yellow
,forward,150.0,40,twirl,yellow
144.0,right,,47,spiral_star,black
,forward,100.0,67,flower,brown
135.0,left,,66,flower,purple
,forward,100.0,33,box_flower,blue
20.0,left,,98,flower,brown
,forward,100.0,6,flower,purple
,forward,100.0,47,box_flower,purple
90.0,left,,113,box_flower,black
,forward,80.0,0,star,brown
-48.0,right,,19,star,blue
,forward,100.0,76,flower,brown
,forward,100.0,112,flower,yellow
,forward,100.0,105,flower,black
144.0,right,,41,spiral_star,green
,forward,100.0,58,flower,purple
90.0,left,,102,box_flower,yellow
90.0,left,,115,box_flower,purple
,forward,100.0,42,box_flower,red
,forward,150.0,90,twirl,green
,forward,100.0,139,box_flower,yellow
,forward,100.0,24,box_flower,brown
144.0,right,,67,spiral_star,green
20.0,right,,88,circle,red
90.0,left,,68,box_flower,black
,forward,25.0,107,circle,purple
123.0,left,,61,twirl,blue
135.0,left,,160,flower,yellow
20.0,left,,107,flower,purple
,forward,100.0,153,flower,purple
20.0,left,,17,box_flower,black
135.0,left,,61,flower,brown
,forward,100.0,150,box_flower,red
135.0,left,,16,flower,green
,forward,80.0,12,star,black
135.0,left,,106,flower,black
120.0,right,,9,star,blue
123.0,left,,23,twirl,yellow
-48.0,right,,19,star,red
123.0,left,,21,twirl,purple
,forward,100.0,9,flower,blue
90.0,left,,91,box_flower,black
45.0,left,,127,flower,green
144.0,right,,21,spiral_star,brown
45.0,left,,32,flower,black
90.0,left,,115,box_flower,yellow
,forward,150.0,88,twirl,red
,forward,100.0,130,flower,purple
,forward,25.0,103,circle,yellow
144.0,right,,3,spiral_star,black
90.0,left,,43,box_flower,green
123.0,left,,45,twirl,red
,forward,150.0,86,twirl,yellow
,forward,100.0,11,box_flower,green
20.0,left,,152,box_flower,brown
,forward,100.0,20,box_flower,black
144.0,right,,41,spiral_star,purple
,forward,100.0,150,box_flower,purple
20.0,left,,44,flower,red
123.0,left,,51,twirl,yellow
45.0,left,,158,flower,green
135.0,left,,7,flower,green
,forward,100.0,20,flower,brown
,forward,100.0,139,flower,yellow
123.0,left,,85,twirl,green
45.0,left,,59,flower,red
,forward,330.0,66,spiral_star,brown
,forward,150.0,28,twirl,red
20.0,left,,152,flower,blue
,forward,150.0,40,twirl,green
123.0,left,,33,twirl,purple
123.0,left,,17,twirl,purple
20.0,right,,88,circle,purple
123.0,left,,83,twirl,red
,forward,100.0,87,box_flower,red
144.0,right,,43,spiral_star,blue
45.0,left,,68,flower,yellow
,forward,25.0,105,circle,purple
,forward,150.0,16,twirl,blue
123.0,left,,47,twirl,purple
45.0,left,,104,flower,red
,forward,150.0,74,twirl,black
,forward,150.0,54,twirl,green
-48.0,right,,7,star,brown
90.0,left,,64,box_flower,blue
,forward,100.0,36,box_flower,blue
,forward,150.0,46,twirl,green
,forward,320.0,64,spiral_star,black
90.0,left,,129,box_flower,red
,forward,100.0,110,box_flower,red
,forward,25.0,85,circle,black
123.0,left,,31,twirl,red
,forward,100.0,78,box_flower,black
45.0,left,,55,flower,purple
,forward,150.0,16,twirl,red
123.0,left,,29,twirl,blue
,forward,100.0,27,flower,green
,forward,100.0,63,box_flower,green
90.0,left,,1,box_flower,green
,forward,100.0,110,flower,green
144.0,right,,57,spiral_star,purple
20.0,left,,35,box_flower,blue
20.0,left,,53,flower,yellow
45.0,left,,64,flower,blue
,forward,100.0,94,box_flower,brown
20.0,right,,82,circle,brown
,forward,150.0,88,twirl,brown
90.0,left,,95,box_flower,purple
,forward,100.0,0,box,green
45.0,left,,82,flower,brown
144.0,right,,17,spiral_star,red
,forward,100.0,76,flower,blue
,forward,0.0,0,spiral_star,black
144.0,right,,67,spiral_star,blue
123.0,left,,49,twirl,red
,forward,100.0,155,box_flower,blue
90.0,left,,158,box_flower,green
123.0,left,,31,twirl,purple
,forward,100.0,132,box_flower,brown
,forward,100.0,78,flower,brown
123.0,left,,25,twirl,green
20.0,right,,94,circle,purple
,forward,30.0,6,spiral_star,yellow
123.0,left,,41,twirl,black
,forward,100.0,76,box_flower,purple
90.0,left,,66,box_flower,blue
45.0,left,,19,flower,purple
144.0,right,,31,spiral_star,brown
135.0,left,,129,flower,black
,forward,150.0,58,twirl,blue
,forward,150.0,52,twirl,black
123.0,left,,95,twirl,red
123.0,left,,79,twirl,brown
135.0,left,,102,flower,green
144.0,right,,69,spiral_star,black
144.0,right,,11,spiral_star,yellow
,forward,100.0,78,box_flower,brown
,forward,130.0,26,spiral_star,blue
,forward,100.0,90,box_flower,purple
,forward,25.0,97,circle,red
-48.0,right,,7,star,purple
,forward,100.0,63,flower,black
,forward,100.0,141,flower,red
90.0,left,,73,box_flower,purple
,forward,150.0,80,twirl,green
144.0,right,,29,spiral_star,yellow
144.0,right,,63,spiral_star,purple
,forward,150.0,24,twirl,yellow
90.0,left,,154,box_flower,black
90.0,left,,55,box_flower,blue
,forward,150.0,36,twirl,brown
144.0,right,,31,spiral_star,red
,forward,340.0,68,spiral_star,purple
144.0,right,,25,spiral_star,blue
123.0,left,,65,twirl,brown
20.0,left,,161,box_flower,blue
,forward,150.0,86,twirl,purple
90.0,left,,23,box_flower,blue
120.0,right,,9,star,green
,forward,100.0,38,flower,black
20.0,left,,89,box_flower,black
90.0,left,,140,box_flower,brown
,forward,140.0,28,spiral_star,purple
90.0,left,,111,box_flower,blue
123.0,left,,3,twirl,yellow
90.0,left,,43,box_flower,blue
135.0,left,,115,flower,brown
20.0,right,,90,circle,red
20.0,left,,98,box_flower,blue
90.0,left,,52,box_flower,purple
,forward,220.0,44,spiral_star,red
45.0,left,,23,flower,black
,forward,100.0,54,flower,blue
,forward,280.0,56,spiral_star,blue
123.0,left,,81,twirl,yellow
90.0,left,,97,box_flower,yellow
144.0,right,,13,spiral_star,purple
123.0,left,,15,twirl,red
45.0,left,,140,flower,black
,forward,100.0,101,flower,blue
90.0,left,,59,box_flower,brown
90.0,left,,82,box_flower,purple
45.0,left,,122,flower,yellow
45.0,left,,32,flower,red
45.0,left,,127,flower,black
20.0,right,,98,circle,yellow
,forward,25.0,73,circle,green
,forward,100.0,96,box_flower,green
90.0,left,,120,box_flower,blue
,forward,100.0,153,flower,yellow
144.0,right,,11,spiral_star,green
144.0,right,,37,spiral_star,red
,forward,100.0,87,flower,blue
,forward,100.0,128,flower,green
,forward,25.0,103,circle,red
,forward,100.0,117,flower,yellow
,forward,100.0,87,box_flower,purple
,forward,150.0,0,twirl,blue
90.0,left,,100,box_flower,brown
,forward,25.0,97,circle,yellow
,forward,150.0,38,twirl,yellow
90.0,left,,52,box_flower,red
,forward,100.0,130,box_flower,black
,forward,80.0,6,star,purple
,forward,100.0,20,flower,purple
20.0,left,,26,flower,brown
,forward,100.0,58,flower,yellow
,forward,100.0,110,flower,purple
,forward,100.0,90,box_flower,red
,forward,300.0,60,spiral_star,red
,forward,150.0,52,twirl,purple
,forward,100.0,130,flower,green
,forward,150.0,48,twirl,red
,forward,100.0,128,flower,blue
,forward,150.0,84,twirl,blue
,forward,100.0,144,box_flower,red
,forward,150.0,68,twirl,blue
,forward,70.0,14,spiral_star,blue
144.0,right,,11,spiral_star,black
90.0,left,,142,box_flower,purple
135.0,left,,57,flower,brown
,forward,150.0,72,twirl,blue
144.0,right,,1,spiral_star,green
,forward,100.0,45,flower,blue
90.0,left,,28,box_flower,yellow
45.0,left,,149,flower,yellow
,forward,100.0,38,flower,yellow
,forward,80.0,12,star,blue
90.0,left,,3,box_flower,red
45.0,left,,158,flower,red
,forward,150.0,22,twirl,yellow
,forward,150.0,60,twirl,purple
90.0,left,,149,box_flower,black
135.0,left,,151,flower,yellow
90.0,left,,118,box_flower,purple
123.0,left,,93,twirl,blue
,forward,150.0,42,twirl,purple
90.0,left,,7,box_flower,brown
,forward,100.0,83,box_flower,black
,forward,100.0,117,box_flower,green
,forward,25.0,73,circle,red
,forward,100.0,144,flower,brown
-48.0,right,,19,star,purple
,forward,100.0,141,flower,brown
90.0,left,,127,box_flower,brown
45.0,left,,41,flower,black
,forward,80.0,2,star,purple
45.0,left,,46,flower,blue
20.0,right,,90,circle,green
,forward,100.0,101,box_flower,brown
,forward,100.0,101,flower,green
45.0,left,,82,flower,red
123.0,left,,57,twirl,purple
90.0,left,,1,box,brown
144.0,right,,41,spiral_star,yellow
,forward,150.0,16,twirl,purple
144.0,right,,57,spiral_star,green
,forward,100.0,83,flower,black
90.0,left,,21,box_flower,red
45.0,left,,131,flower,black
45.0,left,,55,flower,blue
,forward,150.0,56,twirl,yellow
123.0,left,,75,twirl,black
,forward,100.0,67,box_flower,green
90.0,left,,140,box_flower,purple
,forward,100.0,15,box_flower,yellow
90.0,left,,154,box_flower,green
20.0,left,,134,box_flower,red
90.0,left,,12,box_flower,yellow
,forward,100.0,54,box_flower,red
20.0,left,,44,box_flower,purple
144.0,right,,11,spiral_star,purple
,forward,100.0,18,flower,brown
90.0,left,,68,box_flower,red
,forward,80.0,12,star,purple
135.0,left,,79,flower,green
,forward,150.0,6,twirl,black
,forward,50.0,10,spiral_star,purple
,forward,100.0,121,flower,green
-48.0,right,,7,star,red
,forward,100.0,51,box_flower,yellow
,forward,80.0,0,star,red
123.0,left,,53,twirl,yellow
90.0,left,,79,box_flower,red
,forward,100.0,58,box_flower,brown
,forward,100.0,22,box_flower,red
20.0,left,,107,box_flower,blue
,forward,100.0,94,box_flower,blue
20.0,left,,161,box_flower,purple
90.0,left,,97,box_flower,red
,forward,100.0,42,box_flower,brown
20.0,left,,71,box_flower,green
,forward,260.0,52,spiral_star,brown
,forward,150.0,52,twirl,blue
45.0,left,,86,flower,green
123.0,left,,77,twirl,yellow
,forward,100.0,99,box_flower,blue
135.0,left,,61,flower,green
90.0,left,,10,box_flower,yellow
,forward,100.0,108,flower,yellow
45.0,left,,59,flower,green
,forward,100.0,9,flower,purple
45.0,left,,113,flower,purple
20.0,right,,72,circle,brown
20.0,right,,96,circle,black
,forward,150.0,8,twirl,yellow
,forward,100.0,96,box_flower,yellow
,forward,150.0,42,twirl,brown
90.0,left,,129,box_flower,purple
90.0,left,,100,box_flower,black
,forward,25.0,107,circle,black
45.0,left,,32,flower,purple
20.0,left,,107,flower,yellow
,forward,100.0,11,flower,red
,forward,220.0,44,spiral_star,brown
90.0,left,,48,box_flower,black
90.0,left,,95,box_flower,red
120.0,right,,17,star,green
90.0,left,,10,box_flower,black
,forward,150.0,74,twirl,red
,forward,100.0,148,box_flower,yellow
20.0,right,,86,circle,black
,forward,150.0,12,twirl,blue
,forward,150.0,26,twirl,red
,forward,100.0,92,box_flower,black
135.0,left,,88,flower,purple
,forward,100.0,49,box_flower,blue
,forward,150.0,50,twirl,black
135.0,left,,160,flower,black
45.0,left,,14,flower,brown
144.0,right,,7,spiral_star,blue
20.0,left,,80,box_flower,red
,forward,100.0,47,box_flower,yellow
,forward,90.0,18,spiral_star,yellow
-48.0,right,,3,star,red
,forward,25.0,93,circle,black
123.0,left,,97,twirl,red
,forward,130.0,26,spiral_star,yellow
,forward,150.0,78,twirl,brown
123.0,left,,7,twirl,yellow
,forward,100.0,119,box_flower,purple
135.0,left,,129,flower,red
45.0,left,,19,flower,red
,forward,80.0,8,star,red
144.0,right,,47,spiral_star,blue
20.0,left,,80,flower,red
,forward,25.0,93,circle,blue
20.0,right,,102,circle,red
,forward,100.0,148,flower,purple
,forward,100.0,9,box_flower,purple
45.0,left,,64,flower,purple
,forward,100.0,112,box_flower,green
,forward,100.0,4,flower,brown
,forward,100.0,13,flower,blue
,forward,100.0,2,flower,blue
20.0,left,,8,flower,brown
,forward,100.0,126,box_flower,green
144.0,right,,49,spiral_star,yellow
45.0,left,,77,flower,yellow
,forward,270.0,54,spiral_star,green
20.0,left,,89,flower,red
120.0,right,,9,star,yellow
20.0,left,,98,box_flower,brown
45.0,left,,50,flower,yellow
,forward,100.0,112,box_flower,blue
,forward,100.0,90,box_flower,yellow
20.0,left,,71,flower,black
,forward,100.0,92,flower,yellow
144.0,right,,5,spiral_star,purple
90.0,left,,30,box_flower,red
90.0,left,,104,box_flower,red
90.0,left,,3,box,yellow
,forward,150.0,6,twirl,red
,forward,300.0,60,spiral_star,black
20.0,right,,88,circle,black
135.0,left,,138,flower,red
20.0,right,,96,circle,brown
123.0,left,,83,twirl,black
90.0,left,,151,box_flower,green
,forward,25.0,95,circle,brown
123.0,left,,43,twirl,purple
,forward,80.0,6,star,green
